[  2] 5000  Q:971607  E: 25498  H: 25498  D: 24104  I:24040  R: 2047  C:45224  L:  70K
*** crawling 554.3 pps @ 23.00789 Mbps
*** crawling 4690.5 pps @ 124.57645 Mbps
[171] 5000  Q:332702  E:662299  H:662299  D:566599  I:552434  R: 2883  C:59614  L:  91K
*** crawling 4951.0 pps @ 129.96840 Mbps
[173] 5000  Q:322855  E:672146  H:672146  D:570973  I:556313  R: 2883  C:59615  L:  91K
*** crawling 4923.5 pps @ 131.39412 Mbps
[175] 5000  Q:313640  E:681361  H:681361  D:576104  I:560790  R: 2883  C:59615  L:  91K
*** crawling 4607.5 pps @ 134.39030 Mbps
[177] 5000  Q:303652  E:691349  H:691349  D:580831  I:565084  R: 2883  C:59615  L:  91K
*** crawling 4994.0 pps @ 138.80826 Mbps
[179] 5000  Q:293928  E:701073  H:701073  D:586064  I:569797  R: 2883  C:59615  L:  91K
*** crawling 4862.0 pps @ 134.00224 Mbps
[181] 5000  Q:284612  E:710389  H:710389  D:591047  I:574407  R: 2883  C:59615  L:  91K
*** crawling 4658.0 pps @ 129.30463 Mbps
[203] 5000  Q:270314  E:724687  H:724687  D:596200  I:578974  R: 2883  C:59617  L:  91K
*** crawling 14298.0 pps @ 383.55011 Mbps
[205] 5000  Q:261473  E:733528  H:733528  D:599727  I:582248  R: 2883  C:59619  L:  91K
*** crawling 4420.5 pps @ 116.24269 Mbps
[207] 5000  Q:252526  E:742475  H:742475  D:603061  I:585268  R: 2883  C:59620  L:  91K
*** crawling 4473.5 pps @ 123.23753 Mbps
[209] 5000  Q:242722  E:752279  H:752279  D:605938  I:587874  R: 2883  C:59620  L:  91K
*** crawling 4902.0 pps @ 128.84669 Mbps
[211] 5000  Q:232841  E:762160  H:762160  D:608884  I:590569  R: 2883  C:59620  L:  91K
*** crawling 9881.0 pps @ 273.62399 Mbps
[213] 5000  Q:223026  E:771975  H:771975  D:611734  I:593109  R: 2883  C:59620  L:  91K
*** crawling 9815.0 pps @ 271.66440 Mbps
[215] 5000  Q:213057  E:781944  H:781944  D:614831  I:595825  R: 2883  C:59620  L:  91K
*** crawling 4984.5 pps @ 147.33168 Mbps
[217] 5000  Q:202985  E:792016  H:792016  D:618584  I:599231  R: 2883  C:59620  L:  91K
*** crawling 5036.0 pps @ 139.07152 Mbps
[219] 5000  Q:192171  E:802830  H:802768  D:624194  I:604586  R: 2883  C:59620  L:  91K
*** crawling 5376.0 pps @ 148.05556 Mbps
[221] 5000  Q:180269  E:814732  H:814378  D:634397  I:614635  R: 2883  C:59620  L:  91K
*** crawling 5805.0 pps @ 168.45374 Mbps
[223] 5000  Q:168279  E:826722  H:825772  D:644570  I:624691  R: 2883  C:59620  L:  91K
*** crawling 5697.0 pps @ 157.01161 Mbps
[225] 5000  Q:156638  E:838363  H:836736  D:654417  I:634477  R: 2883  C:59620  L:  91K
*** crawling 5482.0 pps @ 150.17747 Mbps
[227] 5000  Q:144833  E:850168  H:847866  D:664454  I:644473  R: 2883  C:59620  L:  91K
*** crawling 5565.0 pps @ 148.24275 Mbps
[229] 5000  Q:133974  E:861027  H:858241  D:673861  I:653855  R: 2883  C:59620  L:  91K
*** crawling 5187.5 pps @ 142.44659 Mbps
[231] 5000  Q:123323  E:871678  H:868457  D:683325  I:663307  R: 2883  C:59620  L:  91K
*** crawling 5108.0 pps @ 141.93974 Mbps
[233] 5000  Q:113177  E:881824  H:878268  D:692585  I:672535  R: 2883  C:59620  L:  91K
*** crawling 4905.5 pps @ 138.87596 Mbps
[235] 5000  Q:102531  E:892470  H:888464  D:702244  I:682174  R: 2883  C:59620  L:  91K
*** crawling 5098.0 pps @ 142.18759 Mbps
[237] 5000  Q: 91522  E:903479  H:899064  D:712363  I:692215  R: 2883  C:59620  L:  91K
*** crawling 5300.0 pps @ 148.66016 Mbps
[239] 5000  Q: 80762  E:914239  H:909414  D:722198  I:701985  R: 2883  C:59620  L:  91K
*** crawling 5175.0 pps @ 130.09572 Mbps
[241] 5000  Q: 69982  E:925019  H:919838  D:732049  I:711743  R: 2883  C:59620  L:  91K
*** crawling 5212.0 pps @ 146.17390 Mbps
[243] 5000  Q: 58856  E:936145  H:930551  D:742127  I:721832  R: 2883  C:59620  L:  91K
*** crawling 5356.5 pps @ 147.77965 Mbps
[246] 5000  Q: 45834  E:949167  H:943083  D:753739  I:733488  R: 2883  C:59622  L:  91K
*** crawling 6266.0 pps @ 181.80151 Mbps
[248] 5000  Q: 32883  E:962118  H:955496  D:765306  I:745098  R: 2883  C:59622  L:  91K
*** crawling 6206.5 pps @ 180.38332 Mbps
[250] 5000  Q:  3213  E:991788  H:981650  D:790005  I:769874  R: 2883  C:59622  L:  91K
*** crawling 13077.0 pps @ 362.82617 Mbps
[252] 3092  Q:     0  E:996909  H:986317  D:793668  I:773556  R: 2883  C:59622  L:  91K
*** crawling 2333.5 pps @ 63.58215 Mbps
[254] 2898  Q:     0  E:997103  H:986511  D:793670  I:773558  R: 2883  C:59622  L:  91K
*** crawling 97.0 pps @ 2.78666 Mbps
[256] 2836  Q:     0  E:997165  H:986573  D:793672  I:773560  R: 2883  C:59622  L:  91K
*** crawling 31.0 pps @ 0.53006 Mbps
[258] 169  Q:     0  E:999832  H:989240  D:793672  I:773560  R: 2883  C:59622  L:  91K
*** crawling 1333.5 pps @ 38.99405 Mbps
[260] 100  Q:     0  E:999901  H:989309  D:793672  I:773560  R: 2883  C:59622  L:  91K
